Area_name,Deaths,Deaths_2020,Deaths_2021,March_2020,April_2020,May_2020,June_2020,July_2020,August_2020,September_2020,October_2020,November_2020,December_2020,January_2021,February_2021,March_2021,April _2021,LA_code,Shareddwelling,Unshareddwelling,totalDwelling,Fulltime,Parttime,Economicallyactive,EconomicallyInactive,Total Eco,young_age,Middle_Age,Old_age,total age_count,Badhealth,Goodhealth,TotalHealth,Total_population
Adur,87,43,44,0,22,15,0,0,0,3,2,0,1,29,13,2,0,E07000223,6,27647,27653,16445,7034,31054,12806,67339,6487,16917,6680,30084,2757,22373,25130,150206
Allerdale,259,101,158,1,42,15,4,4,8,0,2,12,13,72,76,9,1,E07000026,3,45430,45433,25912,11615,48904,22074,108505,9429,26990,10747,47166,4762,33297,38059,239163
Amber Valley,306,168,138,4,54,25,11,2,1,1,6,34,30,74,51,12,1,E07000032,3,54930,54933,36229,13374,63280,27278,140161,12974,35777,12430,61181,5810,42795,48605,304880
Arun,320,90,230,1,31,25,7,0,0,1,2,6,17,132,80,15,3,E07000224,75,70115,70190,37607,15734,71573,34498,159412,14070,37605,19002,70677,6608,54975,61583,361862
Ashfield,378,205,173,1,71,51,10,5,0,1,7,32,27,68,72,29,4,E07000170,10,52786,52796,34795,12976,59970,28067,135808,14144,34475,11472,60091,6764,41200,47964,296659
Ashford,347,202,145,1,48,40,41,22,4,5,2,3,36,93,38,13,1,E07000105,21,49726,49747,33223,12334,61189,23063,129809,12966,33578,10772,57316,4163,41385,45548,282420
Aylesbury Vale,356,161,195,1,82,30,6,5,3,0,1,14,19,96,78,19,2,E07000004,22,71861,71883,54696,17751,95242,31498,199187,20453,52760,14088,87301,4661,59530,64191,422562
Babergh,204,121,83,2,33,17,6,0,0,0,2,31,30,58,18,6,1,E07000200,5,39010,39015,23434,9578,44347,18728,96087,7866,24286,9936,42088,3023,31433,34456,211646
Barking and Dagenham,513,274,239,15,119,20,4,0,0,4,6,41,65,161,66,9,3,E09000002,59,71020,71079,44490,15608,86404,41164,187666,30086,50345,9221,89652,8686,62720,71406,419803
Barnet,867,516,351,46,321,55,6,2,1,2,5,27,51,246,81,20,4,E09000003,256,139090,139346,93174,30478,184483,73960,382095,61365,98228,23472,183065,12197,117508,129705,834211
Barnsley,717,503,214,1,111,80,30,6,0,2,28,135,110,98,76,32,8,E08000016,49,104926,104975,62841,24807,113306,57099,258053,27158,66833,21925,115916,15278,77649,92927,571871
Barrow-in-Furness,165,124,41,3,56,9,1,3,2,1,10,29,10,22,13,5,1,E07000027,7,33011,33018,18723,8470,33897,17206,78296,7503,19523,7192,34218,4542,22865,27407,172939
Basildon,555,299,256,1,126,48,17,12,0,0,13,29,53,162,64,26,4,E07000066,3,74029,74032,50693,17855,89570,36225,194343,22449,49696,14421,86566,7355,60991,68346,423287
Basingstoke and Deane,287,152,135,4,66,23,15,0,0,0,0,22,22,86,33,13,3,E07000084,12,70924,70936,59049,16506,94800,28443,198798,22348,51107,13375,86830,4559,58917,63476,420040
Bassetlaw,214,158,56,0,32,16,16,3,1,2,6,30,52,28,16,7,5,E07000171,9,49392,49401,31585,12752,56556,26749,127642,11359,32046,11463,54868,5912,39138,45050,276961
Bath and North East Somerset,265,118,147,8,62,12,3,2,0,0,2,4,25,58,82,7,0,E06000022,110,75821,75931,46367,18818,89752,40798,195735,19282,46581,15807,81670,5831,58849,64680,418016
Bedford,479,238,241,12,69,51,17,13,3,2,3,23,45,122,102,13,4,E06000055,88,67245,67333,45943,15841,81782,31982,175548,20292,43973,12649,76914,5596,56663,62259,382054
Bexley,579,302,277,9,149,38,11,7,4,2,7,33,42,176,80,16,5,E09000004,37,95000,95037,66838,23072,118864,47050,255824,28475,66071,18624,113170,8688,80446,89134,553165
Birmingham,2716,1645,1071,41,831,201,47,11,8,29,68,197,212,522,422,96,31,E08000025,524,423109,423633,251668,96186,488221,272031,1108106,163025,267415,69471,499911,54105,363904,418009,2449659
Blaby,208,115,93,2,28,28,11,3,0,3,2,20,18,44,35,13,1,E07000129,2,39667,39669,29207,10733,50661,17897,108498,10126,27645,9062,46833,3081,33631,36712,231712
Blackburn with Darwen,416,242,174,0,52,26,4,4,9,6,20,65,56,105,55,12,2,E06000008,30,59585,59615,35597,14535,67033,37384,154549,20753,39547,10238,70538,8428,49010,57438,342140
Blackpool,382,249,133,0,56,40,20,7,1,1,19,58,47,76,42,15,0,E06000009,132,68852,68984,34230,14836,68540,35273,152879,16120,38628,13971,68719,10346,48022,58368,348950
Bolsover,222,106,116,2,25,19,2,1,0,1,2,32,22,54,42,17,3,E07000033,1,34362,34363,21542,7986,37442,18503,85473,8673,22006,7483,38162,5152,25423,30575,188573
Bolton,680,495,185,5,194,72,15,7,4,6,43,83,66,84,70,25,6,E08000001,54,120748,120802,74631,27798,134933,65790,303152,35414,77070,23424,135908,14465,93765,108230,668092
Boston,157,120,37,0,22,8,3,0,0,0,0,22,65,23,7,5,2,E07000136,9,28336,28345,18683,7480,33031,14275,73469,8116,16799,6717,31632,3058,24225,27283,160729
Bournemouth,376,124,252,1,46,19,4,2,0,0,5,21,26,134,103,15,0,E06000028,374,85007,85381,51149,18289,96017,41557,207012,28906,46927,14457,90290,8009,63260,71269,453952
Bracknell Forest,157,80,77,3,40,13,7,0,0,1,3,7,6,46,25,5,1,E06000036,14,46923,46937,40762,11066,65137,17979,134944,15742,35173,7476,58391,2859,38814,41673,281945
Bradford,1162,854,308,1,265,140,47,11,9,20,62,167,132,132,106,41,29,E08000032,234,207034,207268,125745,52795,243727,122490,544757,75286,136649,35120,247055,23768,186031,209799,1208879
Braintree,402,134,268,1,65,33,7,4,0,0,3,11,10,156,91,19,2,E07000067,10,62694,62704,43859,15747,78715,28003,166324,17042,42618,12944,72604,5046,52492,57538,359170
Breckland,295,111,184,1,42,35,6,2,0,0,1,4,20,115,60,7,2,E07000143,5,57420,57425,36350,13772,65029,29147,144298,13621,33966,14697,62284,5623,48663,54286,318293
